Visitor,Home,Prediction,Result,Prediction_Outcome
Houston Rockets,Cleveland Cavaliers,,,
New York Knicks,Detroit Pistons,,,
Los Angeles Lakers,Indiana Pacers,,,
Sacramento Kings,Miami Heat,,,
Memphis Grizzlies,Minnesota Timberwolves,,,
Milwaukee Bucks,New Orleans Pelicans,,,
Orlando Magic,Philadelphia 76ers,,,
Golden State Warriors,Portland Trail Blazers,,,
Utah Jazz,San Antonio Spurs,,,
Houston Rockets,Cleveland Cavaliers,,,
New York Knicks,Detroit Pistons,,,
Los Angeles Lakers,Indiana Pacers,,,
Sacramento Kings,Miami Heat,,,
Memphis Grizzlies,Minnesota Timberwolves,,,
Milwaukee Bucks,New Orleans Pelicans,,,
Orlando Magic,Philadelphia 76ers,,,
Golden State Warriors,Portland Trail Blazers,,,
Utah Jazz,San Antonio Spurs,,,
