Visitor,Home,Prediction,Result,Prediction_Outcome
New York Knicks,Atlanta Hawks,,,
Brooklyn Nets,Chicago Bulls,,,
Minnesota Timberwolves,Denver Nuggets,,,
Milwaukee Bucks,Detroit Pistons,,,
Toronto Raptors,Golden State Warriors,,,
Los Angeles Clippers,New Orleans Pelicans,,,
Charlotte Hornets,Orlando Magic,,,
Sacramento Kings,Portland Trail Blazers,,,
Phoenix Suns,San Antonio Spurs,,,
Indiana Pacers,Washington Wizards,,,
New York Knicks,Atlanta Hawks,,,
Brooklyn Nets,Chicago Bulls,,,
Minnesota Timberwolves,Denver Nuggets,,,
Milwaukee Bucks,Detroit Pistons,,,
Toronto Raptors,Golden State Warriors,,,
Los Angeles Clippers,New Orleans Pelicans,,,
Charlotte Hornets,Orlando Magic,,,
Sacramento Kings,Portland Trail Blazers,,,
Phoenix Suns,San Antonio Spurs,,,
Indiana Pacers,Washington Wizards,,,
