Visitor,Home,Prediction,Result,Prediction_Outcome
Washington Wizards,Boston Celtics,,,
Cleveland Cavaliers,Charlotte Hornets,,,
San Antonio Spurs,Denver Nuggets,,,
Philadelphia 76ers,Houston Rockets,,,
Chicago Bulls,Indiana Pacers,,,
New Orleans Pelicans,Los Angeles Clippers,,,
Atlanta Hawks,Memphis Grizzlies,,,
Miami Heat,New York Knicks,,,
Detroit Pistons,Oklahoma City Thunder,,,
Milwaukee Bucks,Orlando Magic,,,
Golden State Warriors,Phoenix Suns,,,
Minnesota Timberwolves,Sacramento Kings,,,
