team_name,fg_pct,avg_dist,fg2a_pct_fga,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,fg3a_pct_fga,fg2_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg3_pct,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,pct_fg2_layup,fg2_layup,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,.453,13.0,.695,.323,.119,.099,.156,.305,.500,.624,.348,.395,.423,.345,.539,.052,201,.279,653,.896,.229,.427,6,0
Boston Celtics,.454,14.1,.619,.297,.134,.073,.116,.381,.506,.630,.381,.414,.395,.368,.561,.030,119,.278,685,.846,.222,.440,11,0
Brooklyn Nets,.443,13.2,.622,.307,.178,.070,.067,.378,.506,.600,.447,.388,.358,.338,.438,.031,117,.304,714,.845,.223,.344,10,0
Chicago Bulls,.439,12.5,.767,.285,.173,.127,.183,.233,.475,.580,.462,.395,.381,.319,.489,.037,143,.263,612,.857,.262,.409,6,0
Charlotte Hornets,.440,13.5,.680,.291,.142,.098,.149,.320,.481,.607,.386,.400,.381,.353,.566,.035,140,.261,628,.790,.142,.385,12,0
Cleveland Cavaliers,.458,14.3,.609,.287,.117,.099,.107,.391,.507,.651,.317,.418,.411,.383,.437,.053,200,.241,571,.826,.292,.426,5,0
Dallas Mavericks,.439,15.3,.634,.203,.126,.121,.185,.366,.487,.632,.444,.444,.388,.355,.443,.036,130,.170,391,.826,.196,.391,7,0
Denver Nuggets,.461,12.6,.692,.327,.163,.083,.119,.308,.504,.614,.431,.374,.391,.365,.513,.049,185,.284,658,.877,.197,.374,11,0
Detroit Pistons,.456,13.0,.735,.247,.198,.136,.154,.265,.498,.649,.405,.457,.411,.340,.456,.043,168,.208,524,.846,.214,.398,20,1
Golden State Warriors,.501,14.2,.642,.294,.105,.113,.130,.358,.563,.693,.445,.452,.462,.388,.664,.069,282,.234,611,.830,.201,.386,21,1
Houston Rockets,.467,14.5,.542,.312,.132,.041,.056,.458,.554,.679,.390,.364,.403,.365,.549,.074,297,.263,723,.787,.204,.398,11,0
Indiana Pacers,.465,13.4,.733,.237,.191,.110,.194,.267,.501,.621,.480,.415,.423,.369,.498,.035,128,.232,550,.845,.249,.400,12,1
Los Angeles Clippers,.469,14.2,.676,.274,.118,.085,.199,.324,.512,.651,.382,.422,.434,.379,.495,.065,237,.225,528,.782,.207,.404,9,0
Los Angeles Lakers,.445,12.9,.702,.282,.185,.109,.126,.298,.484,.631,.379,.388,.394,.354,.452,.052,205,.236,587,.796,.216,.387,9,1
Memphis Grizzlies,.432,13.5,.690,.285,.161,.094,.150,.310,.465,.567,.423,.387,.365,.357,.483,.029,107,.268,610,.824,.193,.434,18,0
Miami Heat,.446,13.0,.698,.291,.166,.094,.148,.302,.487,.613,.401,.382,.403,.353,.446,.050,197,.243,562,.895,.319,.397,10,0
Milwaukee Bucks,.470,11.5,.722,.370,.171,.073,.108,.278,.510,.634,.388,.360,.383,.367,.543,.078,285,.291,649,.917,.274,.377,7,0
Minnesota Timberwolves,.461,12.7,.733,.296,.161,.095,.182,.267,.500,.628,.432,.395,.404,.353,.536,.056,219,.244,558,.853,.257,.408,5,0
New Orleans Pelicans,.442,13.3,.694,.279,.166,.098,.149,.306,.480,.606,.403,.390,.388,.357,.513,.044,177,.247,594,.820,.207,.388,5,0
New York Knicks,.443,13.3,.716,.293,.121,.130,.171,.284,.478,.589,.355,.431,.409,.356,.457,.041,173,.257,626,.834,.222,.455,19,0
Oklahoma City Thunder,.452,12.1,.698,.346,.142,.103,.106,.302,.508,.628,.396,.401,.373,.322,.469,.063,243,.285,698,.805,.269,.356,12,1
Orlando Magic,.441,13.7,.695,.257,.166,.115,.157,.305,.489,.622,.418,.444,.373,.334,.495,.038,153,.226,562,.878,.177,.303,15,0
Philadelphia 76ers,.441,13.6,.649,.285,.148,.102,.114,.351,.487,.642,.366,.363,.373,.354,.545,.040,147,.254,603,.869,.158,.420,6,0
Phoenix Suns,.448,12.6,.736,.316,.145,.115,.160,.264,.485,.617,.398,.381,.380,.344,.381,.053,203,.269,648,.805,.296,.329,14,0
Portland Trail Blazers,.456,13.7,.673,.283,.141,.096,.153,.327,.502,.604,.420,.429,.437,.360,.474,.047,188,.238,561,.816,.207,.369,12,0
Sacramento Kings,.454,13.1,.693,.281,.185,.077,.150,.307,.495,.640,.417,.385,.379,.361,.505,.045,161,.274,638,.892,.249,.397,14,0
San Antonio Spurs,.478,13.4,.728,.253,.165,.112,.199,.272,.504,.645,.416,.407,.449,.409,.523,.047,166,.216,502,.881,.276,.433,9,0
Toronto Raptors,.465,13.3,.707,.256,.183,.119,.150,.293,.504,.625,.452,.431,.417,.371,.375,.044,173,.229,544,.783,.253,.372,9,1
Utah Jazz,.462,13.4,.667,.285,.151,.101,.130,.333,.512,.656,.426,.443,.350,.362,.444,.063,227,.227,515,.791,.258,.368,9,1
Washington Wizards,.477,13.0,.729,.292,.141,.113,.183,.271,.517,.635,.443,.444,.430,.370,.496,.042,156,.259,633,.845,.266,.329,7,0
