Visitor,Home,Prediction,Result,Prediction_Outcome
Atlanta Hawks,Brooklyn Nets,,,
Toronto Raptors,Charlotte Hornets,,,
Phoenix Suns,Dallas Mavericks,,,
Los Angeles Lakers,Denver Nuggets,,,
Boston Celtics,Detroit Pistons,,,
New Orleans Pelicans,Memphis Grizzlies,,,
Cleveland Cavaliers,Milwaukee Bucks,,,
Indiana Pacers,New York Knicks,,,
Chicago Bulls,Orlando Magic,,,
Washington Wizards,Philadelphia 76ers,,,
Minnesota Timberwolves,Portland Trail Blazers,,,
Houston Rockets,San Antonio Spurs,,,
Sacramento Kings,Utah Jazz,,,
