Visitor,Home,Prediction,Result,Prediction_Outcome
Charlotte Hornets,Atlanta Hawks,,,
Washington Wizards,Brooklyn Nets,,,
Boston Celtics,Cleveland Cavaliers,,,
Dallas Mavericks,Denver Nuggets,,,
Indiana Pacers,Detroit Pistons,,,
San Antonio Spurs,Houston Rockets,,,
Minnesota Timberwolves,Los Angeles Lakers,,,
Phoenix Suns,New Orleans Pelicans,,,
Milwaukee Bucks,New York Knicks,,,
Sacramento Kings,Oklahoma City Thunder,,,
Toronto Raptors,Orlando Magic,,,
Memphis Grizzlies,Utah Jazz,,,
