Visitor,Home,Prediction,Result,Prediction_Outcome
Miami Heat,Atlanta Hawks,,,
Denver Nuggets,Brooklyn Nets,,,
Detroit Pistons,Charlotte Hornets,,,
Sacramento Kings,Dallas Mavericks,,,
Los Angeles Lakers,Houston Rockets,,,
Golden State Warriors,Los Angeles Clippers,,,
Portland Trail Blazers,Milwaukee Bucks,,,
Cleveland Cavaliers,New York Knicks,,,
Boston Celtics,Orlando Magic,,,
Indiana Pacers,Phoenix Suns,,,
Miami Heat,Atlanta Hawks,,,
Denver Nuggets,Brooklyn Nets,,,
Detroit Pistons,Charlotte Hornets,,,
Sacramento Kings,Dallas Mavericks,,,
Los Angeles Lakers,Houston Rockets,,,
Golden State Warriors,Los Angeles Clippers,,,
Portland Trail Blazers,Milwaukee Bucks,,,
Cleveland Cavaliers,New York Knicks,,,
Boston Celtics,Orlando Magic,,,
Indiana Pacers,Phoenix Suns,,,
