Visitor,Home,Prediction,Result,Prediction_Outcome
Los Angeles Clippers,Boston Celtics,,,
Memphis Grizzlies,Brooklyn Nets,,,
Atlanta Hawks,Chicago Bulls,,,
Los Angeles Lakers,Cleveland Cavaliers,,,
Denver Nuggets,Detroit Pistons,,,
Charlotte Hornets,Indiana Pacers,,,
Toronto Raptors,Minnesota Timberwolves,,,
Utah Jazz,New Orleans Pelicans,,,
San Antonio Spurs,Orlando Magic,,,
Sacramento Kings,Philadelphia 76ers,,,
Golden State Warriors,Phoenix Suns,,,
Houston Rockets,Portland Trail Blazers,,,
