Visitor,Home,Prediction,Result,Prediction_Outcome
Charlotte Hornets,Atlanta Hawks,,,
Toronto Raptors,Boston Celtics,,,
Miami Heat,Cleveland Cavaliers,,,
Minnesota Timberwolves,Denver Nuggets,,,
Chicago Bulls,Detroit Pistons,,,
Golden State Warriors,Houston Rockets,,,
Washington Wizards,Milwaukee Bucks,,,
Oklahoma City Thunder,Orlando Magic,,,
Utah Jazz,Philadelphia 76ers,,,
Portland Trail Blazers,Phoenix Suns,,,
Los Angeles Lakers,Sacramento Kings,,,
Brooklyn Nets,San Antonio Spurs,,,
