Visitor,Home,Prediction,Result,Prediction_Outcome
Memphis Grizzlies,Charlotte Hornets,,,
Houston Rockets,Detroit Pistons,,,
Golden State Warriors,Indiana Pacers,,,
Toronto Raptors,Los Angeles Clippers,,,
Orlando Magic,Milwaukee Bucks,,,
Boston Celtics,Minnesota Timberwolves,,,
Miami Heat,Philadelphia 76ers,,,
Dallas Mavericks,San Antonio Spurs,,,
Phoenix Suns,Washington Wizards,,,
Memphis Grizzlies,Charlotte Hornets,,,
Houston Rockets,Detroit Pistons,,,
Golden State Warriors,Indiana Pacers,,,
Toronto Raptors,Los Angeles Clippers,,,
Orlando Magic,Milwaukee Bucks,,,
Boston Celtics,Minnesota Timberwolves,,,
Miami Heat,Philadelphia 76ers,,,
Dallas Mavericks,San Antonio Spurs,,,
Phoenix Suns,Washington Wizards,,,
