Visitor,Home,Prediction,Result,Prediction_Outcome
Dallas Mavericks,Brooklyn Nets,,,
Phoenix Suns,Detroit Pistons,,,
Cleveland Cavaliers,Los Angeles Lakers,,,
Portland Trail Blazers,Miami Heat,,,
Minnesota Timberwolves,New Orleans Pelicans,,,
Boston Celtics,Philadelphia 76ers,,,
Sacramento Kings,San Antonio Spurs,,,
Indiana Pacers,Toronto Raptors,,,
Dallas Mavericks,Brooklyn Nets,,,
Phoenix Suns,Detroit Pistons,,,
Cleveland Cavaliers,Los Angeles Lakers,,,
Portland Trail Blazers,Miami Heat,,,
Minnesota Timberwolves,New Orleans Pelicans,,,
Boston Celtics,Philadelphia 76ers,,,
Sacramento Kings,San Antonio Spurs,,,
Indiana Pacers,Toronto Raptors,,,
