Visitor,Home,Prediction,Result,Prediction_Outcome
New Orleans Pelicans,Charlotte Hornets,,,
Phoenix Suns,Dallas Mavericks,,,
New York Knicks,Detroit Pistons,,,
Philadelphia 76ers,Los Angeles Clippers,,,
Atlanta Hawks,Memphis Grizzlies,,,
Toronto Raptors,Miami Heat,,,
Minnesota Timberwolves,Milwaukee Bucks,,,
Utah Jazz,Oklahoma City Thunder,,,
Cleveland Cavaliers,Orlando Magic,,,
Washington Wizards,Portland Trail Blazers,,,
Denver Nuggets,Sacramento Kings,,,
Golden State Warriors,San Antonio Spurs,,,
New Orleans Pelicans,Charlotte Hornets,,,
Phoenix Suns,Dallas Mavericks,,,
New York Knicks,Detroit Pistons,,,
Philadelphia 76ers,Los Angeles Clippers,,,
Atlanta Hawks,Memphis Grizzlies,,,
Toronto Raptors,Miami Heat,,,
Minnesota Timberwolves,Milwaukee Bucks,,,
Utah Jazz,Oklahoma City Thunder,,,
Cleveland Cavaliers,Orlando Magic,,,
Washington Wizards,Portland Trail Blazers,,,
Denver Nuggets,Sacramento Kings,,,
Golden State Warriors,San Antonio Spurs,,,
