Visitor,Home,Prediction,Result,Prediction_Outcome
Chicago Bulls,Cleveland Cavaliers,,,
New Orleans Pelicans,Dallas Mavericks,,,
Brooklyn Nets,Golden State Warriors,,,
Minnesota Timberwolves,Houston Rockets,,,
Indiana Pacers,Miami Heat,,,
Philadelphia 76ers,New York Knicks,,,
Atlanta Hawks,Orlando Magic,,,
Charlotte Hornets,Sacramento Kings,,,
Chicago Bulls,Cleveland Cavaliers,,,
New Orleans Pelicans,Dallas Mavericks,,,
Brooklyn Nets,Golden State Warriors,,,
Minnesota Timberwolves,Houston Rockets,,,
Indiana Pacers,Miami Heat,,,
Philadelphia 76ers,New York Knicks,,,
Atlanta Hawks,Orlando Magic,,,
Charlotte Hornets,Sacramento Kings,,,
