Visitor,Home,Prediction,Result,Prediction_Outcome
Detroit Pistons,Brooklyn Nets,,,
Golden State Warriors,Dallas Mavericks,,,
Los Angeles Clippers,Los Angeles Lakers,,,
Phoenix Suns,Miami Heat,,,
San Antonio Spurs,Minnesota Timberwolves,,,
Memphis Grizzlies,New Orleans Pelicans,,,
Milwaukee Bucks,Portland Trail Blazers,,,
Chicago Bulls,Toronto Raptors,,,
Detroit Pistons,Brooklyn Nets,,,
Golden State Warriors,Dallas Mavericks,,,
Los Angeles Clippers,Los Angeles Lakers,,,
Phoenix Suns,Miami Heat,,,
San Antonio Spurs,Minnesota Timberwolves,,,
Memphis Grizzlies,New Orleans Pelicans,,,
Milwaukee Bucks,Portland Trail Blazers,,,
Chicago Bulls,Toronto Raptors,,,
