Visitor,Home,Prediction,Result,Prediction_Outcome
Utah Jazz,Atlanta Hawks,,,
Dallas Mavericks,Denver Nuggets,,,
Philadelphia 76ers,Detroit Pistons,,,
Oklahoma City Thunder,Indiana Pacers,,,
San Antonio Spurs,Memphis Grizzlies,,,
Miami Heat,Minnesota Timberwolves,,,
Phoenix Suns,New Orleans Pelicans,,,
Los Angeles Lakers,New York Knicks,,,
Chicago Bulls,Sacramento Kings,,,
Los Angeles Clippers,Toronto Raptors,,,
Cleveland Cavaliers,Washington Wizards,,,
Utah Jazz,Atlanta Hawks,,,
Dallas Mavericks,Denver Nuggets,,,
Philadelphia 76ers,Detroit Pistons,,,
Oklahoma City Thunder,Indiana Pacers,,,
San Antonio Spurs,Memphis Grizzlies,,,
Miami Heat,Minnesota Timberwolves,,,
Phoenix Suns,New Orleans Pelicans,,,
Los Angeles Lakers,New York Knicks,,,
Chicago Bulls,Sacramento Kings,,,
Los Angeles Clippers,Toronto Raptors,,,
Cleveland Cavaliers,Washington Wizards,,,
