Visitor,Home,Prediction,Result,Prediction_Outcome
Brooklyn Nets,Boston Celtics,,,
Milwaukee Bucks,Charlotte Hornets,,,
Detroit Pistons,Denver Nuggets,,,
Philadelphia 76ers,Indiana Pacers,,,
Minnesota Timberwolves,Memphis Grizzlies,,,
Washington Wizards,Miami Heat,,,
Chicago Bulls,New York Knicks,,,
Los Angeles Lakers,Phoenix Suns,,,
Oklahoma City Thunder,Portland Trail Blazers,,,
Golden State Warriors,Sacramento Kings,,,
Atlanta Hawks,Toronto Raptors,,,
Houston Rockets,Utah Jazz,,,
