Visitor,Home,Prediction,Result,Prediction_Outcome
Charlotte Hornets,Atlanta Hawks,,,
Los Angeles Lakers,Cleveland Cavaliers,,,
New York Knicks,Denver Nuggets,,,
Indiana Pacers,Detroit Pistons,,,
Portland Trail Blazers,Golden State Warriors,,,
Houston Rockets,Minnesota Timberwolves,,,
Phoenix Suns,Oklahoma City Thunder,,,
Charlotte Hornets,Atlanta Hawks,,,
Los Angeles Lakers,Cleveland Cavaliers,,,
New York Knicks,Denver Nuggets,,,
Indiana Pacers,Detroit Pistons,,,
Portland Trail Blazers,Golden State Warriors,,,
Houston Rockets,Minnesota Timberwolves,,,
Phoenix Suns,Oklahoma City Thunder,,,
