Visitor,Home,Prediction,Result,Prediction_Outcome
Toronto Raptors,Atlanta Hawks,,,
Houston Rockets,Dallas Mavericks,,,
Chicago Bulls,Detroit Pistons,,,
San Antonio Spurs,Golden State Warriors,,,
Brooklyn Nets,Los Angeles Lakers,,,
Denver Nuggets,Milwaukee Bucks,,,
Phoenix Suns,Minnesota Timberwolves,,,
Miami Heat,New York Knicks,,,
New Orleans Pelicans,Orlando Magic,,,
Indiana Pacers,Philadelphia 76ers,,,
Boston Celtics,Sacramento Kings,,,
Portland Trail Blazers,Utah Jazz,,,
Cleveland Cavaliers,Washington Wizards,,,
