Visitor,Home,Prediction,Result,Prediction_Outcome
Chicago Bulls,Atlanta Hawks,,,
Utah Jazz,Charlotte Hornets,,,
Dallas Mavericks,Golden State Warriors,,,
Philadelphia 76ers,Indiana Pacers,,,
Portland Trail Blazers,Los Angeles Clippers,,,
Brooklyn Nets,New York Knicks,,,
Toronto Raptors,Oklahoma City Thunder,,,
Minnesota Timberwolves,Orlando Magic,,,
Detroit Pistons,Phoenix Suns,,,
Houston Rockets,San Antonio Spurs,,,
Boston Celtics,Washington Wizards,,,
Chicago Bulls,Atlanta Hawks,,,
Utah Jazz,Charlotte Hornets,,,
Dallas Mavericks,Golden State Warriors,,,
Philadelphia 76ers,Indiana Pacers,,,
Portland Trail Blazers,Los Angeles Clippers,,,
Brooklyn Nets,New York Knicks,,,
Toronto Raptors,Oklahoma City Thunder,,,
Minnesota Timberwolves,Orlando Magic,,,
Detroit Pistons,Phoenix Suns,,,
Houston Rockets,San Antonio Spurs,,,
Boston Celtics,Washington Wizards,,,
