Visitor,Home,Prediction,Result,Prediction_Outcome
Boston Celtics,Brooklyn Nets,0,,
San Antonio Spurs,Charlotte Hornets,0,,
Portland Trail Blazers,Cleveland Cavaliers,0,,
Los Angeles Clippers,Dallas Mavericks,0,,
Miami Heat,Detroit Pistons,0,,
Los Angeles Lakers,Golden State Warriors,0,,
Toronto Raptors,Houston Rockets,0,,
Atlanta Hawks,Indiana Pacers,0,,
Minnesota Timberwolves,New Orleans Pelicans,0,,
Phoenix Suns,Orlando Magic,0,,
Memphis Grizzlies,Philadelphia 76ers,0,,
Oklahoma City Thunder,Sacramento Kings,0,,
Denver Nuggets,Utah Jazz,0,,
