Visitor,Home,Prediction,Result,Prediction_Outcome
Los Angeles Lakers,Boston Celtics,,,
Indiana Pacers,Brooklyn Nets,,,
Milwaukee Bucks,Denver Nuggets,,,
Minnesota Timberwolves,Detroit Pistons,,,
Chicago Bulls,Houston Rockets,,,
Memphis Grizzlies,Oklahoma City Thunder,,,
Toronto Raptors,Orlando Magic,,,
Dallas Mavericks,Portland Trail Blazers,,,
Phoenix Suns,Sacramento Kings,,,
Los Angeles Lakers,Boston Celtics,,,
Indiana Pacers,Brooklyn Nets,,,
Milwaukee Bucks,Denver Nuggets,,,
Minnesota Timberwolves,Detroit Pistons,,,
Chicago Bulls,Houston Rockets,,,
Memphis Grizzlies,Oklahoma City Thunder,,,
Toronto Raptors,Orlando Magic,,,
Dallas Mavericks,Portland Trail Blazers,,,
Phoenix Suns,Sacramento Kings,,,
