Visitor,Home,Prediction,Result,Prediction_Outcome
Brooklyn Nets,Boston Celtics,,,
Dallas Mavericks,Indiana Pacers,,,
Houston Rockets,Los Angeles Lakers,,,
Minnesota Timberwolves,Memphis Grizzlies,,,
Charlotte Hornets,Milwaukee Bucks,,,
Denver Nuggets,New Orleans Pelicans,,,
Miami Heat,Orlando Magic,,,
Oklahoma City Thunder,Philadelphia 76ers,,,
Sacramento Kings,Phoenix Suns,,,
Detroit Pistons,Toronto Raptors,,,
Brooklyn Nets,Boston Celtics,,,
Dallas Mavericks,Indiana Pacers,,,
Houston Rockets,Los Angeles Lakers,,,
Minnesota Timberwolves,Memphis Grizzlies,,,
Charlotte Hornets,Milwaukee Bucks,,,
Denver Nuggets,New Orleans Pelicans,,,
Miami Heat,Orlando Magic,,,
Oklahoma City Thunder,Philadelphia 76ers,,,
Sacramento Kings,Phoenix Suns,,,
Detroit Pistons,Toronto Raptors,,,
