Visitor,Home,Prediction,Result,Prediction_Outcome
Los Angeles Clippers,Charlotte Hornets,,,
Denver Nuggets,Cleveland Cavaliers,,,
Orlando Magic,Dallas Mavericks,,,
Phoenix Suns,Houston Rockets,,,
Milwaukee Bucks,Indiana Pacers,,,
Golden State Warriors,Oklahoma City Thunder,,,
Miami Heat,Philadelphia 76ers,,,
Boston Celtics,Utah Jazz,,,
Los Angeles Clippers,Charlotte Hornets,,,
Denver Nuggets,Cleveland Cavaliers,,,
Orlando Magic,Dallas Mavericks,,,
Phoenix Suns,Houston Rockets,,,
Milwaukee Bucks,Indiana Pacers,,,
Golden State Warriors,Oklahoma City Thunder,,,
Miami Heat,Philadelphia 76ers,,,
Boston Celtics,Utah Jazz,,,
