Visitor,Home,Prediction,Result,Prediction_Outcome
Minnesota Timberwolves,Charlotte Hornets,,,
Chicago Bulls,Dallas Mavericks,,,
Phoenix Suns,Golden State Warriors,,,
Los Angeles Lakers,Memphis Grizzlies,,,
Brooklyn Nets,Milwaukee Bucks,,,
Boston Celtics,Philadelphia 76ers,,,
Miami Heat,Portland Trail Blazers,,,
Atlanta Hawks,Toronto Raptors,,,
Denver Nuggets,Utah Jazz,,,
Minnesota Timberwolves,Charlotte Hornets,,,
Chicago Bulls,Dallas Mavericks,,,
Phoenix Suns,Golden State Warriors,,,
Los Angeles Lakers,Memphis Grizzlies,,,
Brooklyn Nets,Milwaukee Bucks,,,
Boston Celtics,Philadelphia 76ers,,,
Miami Heat,Portland Trail Blazers,,,
Atlanta Hawks,Toronto Raptors,,,
Denver Nuggets,Utah Jazz,,,
