Visitor,Home,Prediction,Result,Prediction_Outcome
Golden State Warriors,Atlanta Hawks,,,
Indiana Pacers,Charlotte Hornets,,,
Miami Heat,Cleveland Cavaliers,,,
Sacramento Kings,Denver Nuggets,,,
Chicago Bulls,Detroit Pistons,,,
Boston Celtics,Los Angeles Clippers,,,
Brooklyn Nets,Memphis Grizzlies,,,
Portland Trail Blazers,Minnesota Timberwolves,,,
New York Knicks,Orlando Magic,,,
Milwaukee Bucks,Philadelphia 76ers,,,
Houston Rockets,San Antonio Spurs,,,
New Orleans Pelicans,Utah Jazz,,,
Golden State Warriors,Atlanta Hawks,,,
Indiana Pacers,Charlotte Hornets,,,
Miami Heat,Cleveland Cavaliers,,,
Sacramento Kings,Denver Nuggets,,,
Chicago Bulls,Detroit Pistons,,,
Boston Celtics,Los Angeles Clippers,,,
Brooklyn Nets,Memphis Grizzlies,,,
Portland Trail Blazers,Minnesota Timberwolves,,,
New York Knicks,Orlando Magic,,,
Milwaukee Bucks,Philadelphia 76ers,,,
Houston Rockets,San Antonio Spurs,,,
New Orleans Pelicans,Utah Jazz,,,
