Visitor,Home,Prediction,Result,Prediction_Outcome
Miami Heat,Chicago Bulls,,,
Charlotte Hornets,Cleveland Cavaliers,,,
Dallas Mavericks,Houston Rockets,,,
Portland Trail Blazers,Indiana Pacers,,,
New Orleans Pelicans,Los Angeles Clippers,,,
Golden State Warriors,Memphis Grizzlies,,,
Denver Nuggets,Orlando Magic,,,
Brooklyn Nets,San Antonio Spurs,,,
Sacramento Kings,Utah Jazz,,,
Milwaukee Bucks,Washington Wizards,,,
Miami Heat,Chicago Bulls,,,
Charlotte Hornets,Cleveland Cavaliers,,,
Dallas Mavericks,Houston Rockets,,,
Portland Trail Blazers,Indiana Pacers,,,
New Orleans Pelicans,Los Angeles Clippers,,,
Golden State Warriors,Memphis Grizzlies,,,
Denver Nuggets,Orlando Magic,,,
Brooklyn Nets,San Antonio Spurs,,,
Sacramento Kings,Utah Jazz,,,
Milwaukee Bucks,Washington Wizards,,,
