Visitor,Home,Prediction,Result,Prediction_Outcome
Philadelphia 76ers,Atlanta Hawks,,,
Washington Wizards,Chicago Bulls,,,
Detroit Pistons,Denver Nuggets,,,
San Antonio Spurs,Houston Rockets,,,
Boston Celtics,Indiana Pacers,,,
Utah Jazz,Miami Heat,,,
Memphis Grizzlies,Milwaukee Bucks,,,
Los Angeles Clippers,Minnesota Timberwolves,,,
Los Angeles Lakers,New Orleans Pelicans,,,
Brooklyn Nets,Phoenix Suns,,,
New York Knicks,Toronto Raptors,,,
Philadelphia 76ers,Atlanta Hawks,,,
Washington Wizards,Chicago Bulls,,,
Detroit Pistons,Denver Nuggets,,,
San Antonio Spurs,Houston Rockets,,,
Boston Celtics,Indiana Pacers,,,
Utah Jazz,Miami Heat,,,
Memphis Grizzlies,Milwaukee Bucks,,,
Los Angeles Clippers,Minnesota Timberwolves,,,
Los Angeles Lakers,New Orleans Pelicans,,,
Brooklyn Nets,Phoenix Suns,,,
New York Knicks,Toronto Raptors,,,
