Visitor,Home,Prediction,Result,Prediction_Outcome
Cleveland Cavaliers,Boston Celtics,,,
Miami Heat,Charlotte Hornets,,,
Toronto Raptors,Detroit Pistons,,,
Denver Nuggets,Houston Rockets,,,
Dallas Mavericks,Los Angeles Clippers,,,
Oklahoma City Thunder,Memphis Grizzlies,,,
Golden State Warriors,Phoenix Suns,,,
Los Angeles Lakers,San Antonio Spurs,,,
Cleveland Cavaliers,Boston Celtics,,,
Miami Heat,Charlotte Hornets,,,
Toronto Raptors,Detroit Pistons,,,
Denver Nuggets,Houston Rockets,,,
Dallas Mavericks,Los Angeles Clippers,,,
Oklahoma City Thunder,Memphis Grizzlies,,,
Golden State Warriors,Phoenix Suns,,,
Los Angeles Lakers,San Antonio Spurs,,,
