Visitor,Home,Prediction,Result,Prediction_Outcome
Utah Jazz,Brooklyn Nets,,,
Charlotte Hornets,Chicago Bulls,,,
New Orleans Pelicans,Cleveland Cavaliers,,,
Denver Nuggets,Golden State Warriors,,,
Washington Wizards,Houston Rockets,,,
Phoenix Suns,Los Angeles Clippers,,,
Oklahoma City Thunder,Milwaukee Bucks,,,
Orlando Magic,New York Knicks,,,
Utah Jazz,Brooklyn Nets,,,
Charlotte Hornets,Chicago Bulls,,,
New Orleans Pelicans,Cleveland Cavaliers,,,
Denver Nuggets,Golden State Warriors,,,
Washington Wizards,Houston Rockets,,,
Phoenix Suns,Los Angeles Clippers,,,
Oklahoma City Thunder,Milwaukee Bucks,,,
Orlando Magic,New York Knicks,,,
