Visitor,Home,Prediction,Result,Prediction_Outcome
Milwaukee Bucks,Brooklyn Nets,,,
Toronto Raptors,Chicago Bulls,,,
Indiana Pacers,Cleveland Cavaliers,,,
Memphis Grizzlies,Dallas Mavericks,,,
New Orleans Pelicans,Golden State Warriors,,,
Washington Wizards,Los Angeles Clippers,,,
Denver Nuggets,Miami Heat,,,
Atlanta Hawks,Oklahoma City Thunder,,,
Portland Trail Blazers,Orlando Magic,,,
New York Knicks,Philadelphia 76ers,,,
Charlotte Hornets,Sacramento Kings,,,
Boston Celtics,San Antonio Spurs,,,
