Visitor,Home,Prediction,Result,Prediction_Outcome
Orlando Magic,Atlanta Hawks,,,
New York Knicks,Boston Celtics,,,
Philadelphia 76ers,Brooklyn Nets,,,
Portland Trail Blazers,Chicago Bulls,,,
Charlotte Hornets,Memphis Grizzlies,,,
Oklahoma City Thunder,Minnesota Timberwolves,,,
Cleveland Cavaliers,New Orleans Pelicans,,,
Detroit Pistons,Phoenix Suns,,,
Los Angeles Lakers,San Antonio Spurs,,,
Indiana Pacers,Toronto Raptors,,,
Miami Heat,Utah Jazz,,,
Los Angeles Clippers,Washington Wizards,,,
