Visitor,Home,Prediction,Result,Prediction_Outcome
Toronto Raptors,Atlanta Hawks,,,
Portland Trail Blazers,Charlotte Hornets,,,
Washington Wizards,Cleveland Cavaliers,,,
New York Knicks,Dallas Mavericks,,,
Los Angeles Clippers,Detroit Pistons,,,
Sacramento Kings,Houston Rockets,,,
Memphis Grizzlies,Los Angeles Lakers,,,
Milwaukee Bucks,Minnesota Timberwolves,,,
Utah Jazz,Oklahoma City Thunder,,,
Golden State Warriors,Orlando Magic,,,
Brooklyn Nets,Philadelphia 76ers,,,
Denver Nuggets,Phoenix Suns,,,
Indiana Pacers,San Antonio Spurs,,,
