Visitor,Home,Prediction,Result,Prediction_Outcome
Indiana Pacers,Atlanta Hawks,,,
Miami Heat,Charlotte Hornets,,,
Utah Jazz,Cleveland Cavaliers,,,
Orlando Magic,Detroit Pistons,,,
Houston Rockets,Golden State Warriors,,,
Toronto Raptors,Memphis Grizzlies,,,
Dallas Mavericks,Minnesota Timberwolves,,,
Los Angeles Lakers,New Orleans Pelicans,,,
New York Knicks,Philadelphia 76ers,,,
Portland Trail Blazers,Phoenix Suns,,,
Brooklyn Nets,Sacramento Kings,,,
Oklahoma City Thunder,Washington Wizards,,,
