Visitor,Home,Prediction,Result,Prediction_Outcome
Golden State Warriors,Boston Celtics,,,
Atlanta Hawks,Charlotte Hornets,,,
Detroit Pistons,Cleveland Cavaliers,,,
Memphis Grizzlies,Dallas Mavericks,,,
Toronto Raptors,Denver Nuggets,,,
Phoenix Suns,Indiana Pacers,,,
San Antonio Spurs,Los Angeles Lakers,,,
Portland Trail Blazers,New Orleans Pelicans,,,
Brooklyn Nets,Oklahoma City Thunder,,,
Los Angeles Clippers,Sacramento Kings,,,
Golden State Warriors,Boston Celtics,,,
Atlanta Hawks,Charlotte Hornets,,,
Detroit Pistons,Cleveland Cavaliers,,,
Memphis Grizzlies,Dallas Mavericks,,,
Toronto Raptors,Denver Nuggets,,,
Phoenix Suns,Indiana Pacers,,,
San Antonio Spurs,Los Angeles Lakers,,,
Portland Trail Blazers,New Orleans Pelicans,,,
Brooklyn Nets,Oklahoma City Thunder,,,
Los Angeles Clippers,Sacramento Kings,,,
