Visitor,Home,Prediction,Result,Prediction_Outcome
Oklahoma City Thunder,Detroit Pistons,,,
Philadelphia 76ers,Houston Rockets,,,
Orlando Magic,Indiana Pacers,,,
Brooklyn Nets,Los Angeles Clippers,,,
Boston Celtics,New Orleans Pelicans,,,
Dallas Mavericks,New York Knicks,,,
Miami Heat,San Antonio Spurs,,,
Memphis Grizzlies,Utah Jazz,,,
Oklahoma City Thunder,Detroit Pistons,,,
Philadelphia 76ers,Houston Rockets,,,
Orlando Magic,Indiana Pacers,,,
Brooklyn Nets,Los Angeles Clippers,,,
Boston Celtics,New Orleans Pelicans,,,
Dallas Mavericks,New York Knicks,,,
Miami Heat,San Antonio Spurs,,,
Memphis Grizzlies,Utah Jazz,,,
