Visitor,Home,Prediction,Result,Prediction_Outcome
Utah Jazz,Boston Celtics,,,
Washington Wizards,Dallas Mavericks,,,
Sacramento Kings,Denver Nuggets,,,
Indiana Pacers,Detroit Pistons,,,
Memphis Grizzlies,Los Angeles Lakers,,,
Minnesota Timberwolves,Philadelphia 76ers,,,
Miami Heat,Phoenix Suns,,,
Toronto Raptors,San Antonio Spurs,,,
Utah Jazz,Boston Celtics,,,
Washington Wizards,Dallas Mavericks,,,
Sacramento Kings,Denver Nuggets,,,
Indiana Pacers,Detroit Pistons,,,
Memphis Grizzlies,Los Angeles Lakers,,,
Minnesota Timberwolves,Philadelphia 76ers,,,
Miami Heat,Phoenix Suns,,,
Toronto Raptors,San Antonio Spurs,,,
