Visitor,Home,Prediction,Result,Prediction_Outcome
Atlanta Hawks,Boston Celtics,,,
Miami Heat,Cleveland Cavaliers,,,
Utah Jazz,Dallas Mavericks,,,
San Antonio Spurs,Detroit Pistons,,,
Houston Rockets,Los Angeles Clippers,,,
Sacramento Kings,Milwaukee Bucks,,,
Golden State Warriors,Minnesota Timberwolves,,,
Indiana Pacers,New Orleans Pelicans,,,
Memphis Grizzlies,Oklahoma City Thunder,,,
New York Knicks,Orlando Magic,,,
Los Angeles Lakers,Portland Trail Blazers,,,
Washington Wizards,Toronto Raptors,,,
