Visitor,Home,Prediction,Result,Prediction_Outcome
Houston Rockets,Boston Celtics,,,
Miami Heat,Brooklyn Nets,,,
Atlanta Hawks,Chicago Bulls,,,
Golden State Warriors,Charlotte Hornets,,,
Sacramento Kings,Cleveland Cavaliers,,,
New York Knicks,Dallas Mavericks,,,
Toronto Raptors,Memphis Grizzlies,,,
Philadelphia 76ers,Milwaukee Bucks,,,
Oklahoma City Thunder,New Orleans Pelicans,,,
Los Angeles Lakers,Portland Trail Blazers,,,
Houston Rockets,Boston Celtics,,,
Miami Heat,Brooklyn Nets,,,
Atlanta Hawks,Chicago Bulls,,,
Golden State Warriors,Charlotte Hornets,,,
Sacramento Kings,Cleveland Cavaliers,,,
New York Knicks,Dallas Mavericks,,,
Toronto Raptors,Memphis Grizzlies,,,
Philadelphia 76ers,Milwaukee Bucks,,,
Oklahoma City Thunder,New Orleans Pelicans,,,
Los Angeles Lakers,Portland Trail Blazers,,,
