Visitor,Home,Prediction,Result,Prediction_Outcome
Oklahoma City Thunder,Boston Celtics,0,,
Chicago Bulls,Charlotte Hornets,0,,
Brooklyn Nets,Cleveland Cavaliers,0,,
Atlanta Hawks,Denver Nuggets,0,,
Golden State Warriors,Detroit Pistons,0,,
Dallas Mavericks,Los Angeles Clippers,0,,
Houston Rockets,Memphis Grizzlies,0,,
Washington Wizards,Milwaukee Bucks,0,,
Sacramento Kings,Minnesota Timberwolves,0,,
Miami Heat,New Orleans Pelicans,0,,
Los Angeles Lakers,Orlando Magic,0,,
Philadelphia 76ers,Phoenix Suns,0,,
San Antonio Spurs,Portland Trail Blazers,0,,
Toronto Raptors,Utah Jazz,0,,
