Visitor,Home,Prediction,Result,Prediction_Outcome
New York Knicks,Boston Celtics,,,
Portland Trail Blazers,Charlotte Hornets,,,
Atlanta Hawks,Detroit Pistons,,,
Oklahoma City Thunder,Golden State Warriors,,,
Milwaukee Bucks,Houston Rockets,,,
Orlando Magic,New Orleans Pelicans,,,
Toronto Raptors,Philadelphia 76ers,,,
Indiana Pacers,Sacramento Kings,,,
Memphis Grizzlies,Washington Wizards,,,
New York Knicks,Boston Celtics,,,
Portland Trail Blazers,Charlotte Hornets,,,
Atlanta Hawks,Detroit Pistons,,,
Oklahoma City Thunder,Golden State Warriors,,,
Milwaukee Bucks,Houston Rockets,,,
Orlando Magic,New Orleans Pelicans,,,
Toronto Raptors,Philadelphia 76ers,,,
Indiana Pacers,Sacramento Kings,,,
Memphis Grizzlies,Washington Wizards,,,
